from,to,cost,flow
14347,13869,0.4482391168587778,10.419758
14346,13809,0.5329518601277252,53.110987
14345,13506,3.3022536433413667,1e-12
14344,13032,2.1820989852213475,102.51241
14343,13027,1.1097739556650472,53.110987
14342,13032,0.9196183054446323,0.0
14341,1199,7.110879822363727,92.366934
14340,13031,3.56160300327931,53.110987
14339,14338,1.5620654370206304,27.71008
14338,13557,6.587999419164144,55.420161
14337,13867,4.658422244782637,53.110987
14336,13029,5.858299618220378,53.110987
14335,4289,4.4743477389609625,53.110987
14334,2568,12.021654026788095,53.110987
5816,14333,6.378929143380107,46.577602
14332,13866,3.8959330249010837,0.0
14331,12743,5.282095906909149,53.110987
14330,12751,5.9027740344285595,0.0
14329,12746,5.112745454881345,224.44264
14328,1495,1.8606525023055034,0.0
14327,13577,2.2454281696880636,53.110987
14326,12743,4.9124923943593295,92.366934
14325,13864,6.646262096040553,53.110987
14324,12743,3.892106140311434,53.110987
14323,13864,2.438753057856405,53.110987
14322,13037,3.5031261742146276,53.110987
14321,5945,11.85720398621261,53.110987
14320,2348,10.384964996829599,53.110987
14319,13861,3.091804867185944,53.110987
14318,13859,3.3723894018465437,0.0
14317,13859,5.894372576477373,53.110987
14316,12712,24.43667109858566,53.110987
14315,13861,7.08293971384658,53.110987
14314,13861,7.905430584860427,53.110987
14313,12731,2.909208213611291,53.110987
14312,7696,6.542643696216356,53.110987
14311,14310,6.103725218725206,53.110987
14310,14309,6.697560880489218,106.22197
14309,12729,14.633267563130218,159.33296
14308,12727,1.6795741941909532,53.110987
14307,12672,1.9758126428938607,53.110987
14306,13857,8.172966083827907,92.366934
14305,12766,4.740795497789468,53.110987
14304,14301,2.0548812368461165,27.71008
14303,14285,1.4877755125341463,-0.0
14302,14289,2.5968394898743346,27.71008
14301,14295,2.8281357810280143,0.0
14300,14284,5.190010561274743,53.110987
14299,13854,3.4005402450121354,53.110987
14298,14297,5.0212866171293955,53.110987
14297,13849,4.015641765195626,106.22197
14296,12764,8.330717878034962,108.53115
14295,14293,3.496721921767158,0.0
14294,14290,4.040909138366057,53.110987
14293,13242,2.617772560224716,0.0
14292,13728,0.9777565358703937,0.0
14291,14288,2.7569753174661407,0.0
14290,14289,0.9497842806715674,106.22197
14289,13220,0.8247199689854808,187.04304
14288,14286,0.9423146293841311,53.110987
14287,13700,1.2959865805718627,-0.0
14286,13700,3.6640847997165196,106.22197
14285,5013,1.8322817075941507,133.93205
14284,14267,3.9813760119962187,80.821068
14283,14266,2.1291437051358364,0.0
14271,14282,1.5197959401246777,809.19039
14281,12055,12.460178318716352,192.43111
14280,11992,3.0472021364201476,-0.0
14279,13917,1.1113533451343272,26.555494
14278,12363,4.19032115180427,26.555494
14277,14037,0.7964730656401094,53.110987
14276,13294,0.786943316694716,-0.0
14275,12715,8.449623913596186,27.71008
14274,12131,7.387566258916249,-0.0
14273,13209,1.2345404037252354,88.518312
14272,13262,0.9420265994433614,0.0
14267,14271,1.1908810205085656,781.48031
14270,13564,8.645966175745341,0.0
14269,14268,3.970569850218175,0.0
14268,14267,3.6135951685039505,53.110987
13854,14267,3.6161492419799695,594.43727
14266,13856,0.3626749426054494,53.110987
14265,14264,2.7488260518809766,53.110987
14264,14263,4.644868527312384,106.22197
14263,13856,9.337879155407807,159.33296
14262,13382,5.694260694657494,53.110987
14261,14244,2.4389854341191324,53.110987
14260,12758,3.5338772715246924,53.110987
14259,339,6.97564165539204,53.110987
14258,12679,14.741928141384994,27.71008
14257,4042,7.491750297865577,27.71008
14256,13329,3.885015272531145,0.0
14255,6817,8.20696010573702,53.110987
14254,12715,7.486654129069729,53.110987
14253,870,11.356397649136715,27.71008
14252,13229,11.609751560513509,53.110987
14251,399,4.664392895530392,53.110987
14250,991,13.467423495254273,53.110987
14249,13850,4.4373024417349045,-0.0
14248,12763,4.550504214831764,53.110987
14247,12756,1.8987585411930388,4.9337504
14246,12755,4.0862313771109715,53.110987
14245,12772,3.578711611691608,53.110987
14244,12757,2.0548556203557635,145.47792
14243,13847,8.902832933577821,27.71008
14242,12802,2.2976747165263385,27.71008
14241,12855,6.807857592557721,27.71008
14240,13847,9.323337848062016,0.0
14239,13845,3.6540274570688895,0.0
14238,12880,1.074181285209058,27.71008
14237,4037,18.653948567234806,27.71008
14236,7729,16.418004993137153,53.110987
14235,7729,14.578305969796755,53.110987
14234,12878,10.377739301727825,27.71008
14233,6552,6.042744618392875,27.71008
14232,12879,6.672538887001211,53.110987
14231,12886,6.198007497411989,145.47792
14230,12885,5.647114119966269,53.110987
14229,12882,3.9220888358490202,0.0
14228,14217,4.898010055235794,27.71008
14227,12806,21.432070548251783,53.110987
14226,13385,2.943515978715042,0.0
14225,12884,8.65719151191882,53.110987
14224,7768,38.194767429015144,53.110987
14223,1959,24.524891504038617,53.110987
14222,12845,18.805394214359158,53.110987
14221,14220,21.389335257103482,53.110987
14220,12840,1.0272246253289137,0.0
14219,3651,14.051334146390227,53.110987
14218,4682,21.107034649480312,53.110987
14217,13304,6.885421341813524,80.821068
14216,12809,5.304221115050859,53.110987
14215,5636,3.428817122653969,0.0
14214,12844,6.299895999596617,53.110987
14213,14212,3.669228269007023,0.0
14212,12823,4.818166348806624,106.22197
14211,13470,2.91987065222865,53.110987
14210,12823,1.7252476691163217,0.0
14209,12824,8.509020038079818,0.0
14208,13334,0.7021519132110973,53.110987
14207,12817,10.34690368412783,53.110987
13836,14206,6.679168059253695,302.08409
14205,13836,2.0915347019002457,53.110987
14204,12813,3.7895902759568982,27.71008
14203,12791,12.037704929664427,27.199784
14202,13889,7.347005823000898,27.71008
14201,14199,3.4202768086806494,0.0
14200,14198,3.0466381600732184,0.0
14199,5897,6.36313524676434,5573.9495
13254,14198,20.593151363077446,5437.7083
