node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
1998,2e-12,0.0,0.0,2e-12,2e-12,2e-12,True
1999,165.01722,0.0,0.0,165.01721700000002,165.01722,165.01721700000002,True
2000,0.0,0.0,0.0,0.0,0.0,0.0,True
2001,0.0,0.0,0.0,0.0,0.0,0.0,True
2002,600.09846,0.0,0.0,600.0984599999999,600.09846,600.0984599999999,True
2003,5.4002292,0.0,0.0,5.4002292,5.4002292,5.4002292,True
2004,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
2005,0.0,0.0,0.0,0.0,0.0,0.0,True
2006,572.67261,0.0,0.0,572.67261,572.67261,572.67261,True
2007,0.0,0.0,0.0,0.0,0.0,0.0,True
2008,115.326052,0.0,0.0,115.32605,115.326052,115.32605,True
2009,0.0,0.0,0.0,0.0,0.0,0.0,True
2010,0.0,0.0,0.0,5e-13,0.0,5e-13,True
2011,192.43111,0.0,0.0,192.43111,192.43111,192.43111,True
2012,0.0,0.0,0.0,0.0,0.0,0.0,True
2013,0.0,0.0,0.0,0.0,0.0,0.0,True
2014,0.0,0.0,0.0,0.0,0.0,0.0,True
2015,716.580663,0.0,0.0,716.58066,716.580663,716.58066,True
2016,0.0,0.0,0.0,0.0,0.0,0.0,True
2017,112.905132,0.0,0.0,112.90513,112.905132,112.90513,True
2018,0.0,0.0,0.0,0.0,0.0,0.0,True
2019,0.0,0.0,0.0,0.0,0.0,0.0,True
2020,0.0,0.0,0.0,0.0,0.0,0.0,True
2021,5982.2196,0.0,0.0,5982.2196605,5982.2196,5982.2196605,True
2022,0.0,0.0,0.0,0.0,0.0,0.0,True
2023,1393.10815,0.0,0.0,1393.1081,1393.10815,1393.1081,True
2024,1450.850125,0.0,0.0,1450.8501,1450.850125,1450.8501,True
2025,0.0,0.0,0.0,0.0,0.0,0.0,True
2026,0.0,0.0,0.0,0.0,0.0,0.0,True
2027,0.0,0.0,0.0,0.0,0.0,0.0,True
2028,89.047089,0.0,0.0,89.047089,89.047089,89.047089,True
2029,2.8158865,0.0,0.0,2.8158865,2.8158865,2.8158865,True
2030,0.0,0.0,0.0,0.0,0.0,0.0,True
2031,239.25810000000052,0.0,0.0,239.25809729999997,239.25810000000052,239.25809729999997,True
2032,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
2033,18066.614,0.0,0.0,18066.614,18066.614,18066.614,True
2034,0.0,0.0,0.0,0.0,0.0,0.0,True
2035,0.0,0.0,0.0,0.0,0.0,0.0,True
2036,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
2037,206.9795500000005,0.0,0.0,206.97955,206.9795500000005,206.97955,True
2038,327.46708,0.0,0.0,327.4670805,327.46708,327.4670805,True
2039,0.0,0.0,0.0,0.0,0.0,0.0,True
2040,55.962403,0.0,0.0,55.962403,55.962403,55.962403,True
2041,436.4037,0.0,0.0,436.40369799999996,436.4037,436.40369799999996,True
2042,5.1580325,0.0,0.0,5.1580325,5.1580325,5.1580325,True
2043,2.2791494000005,0.0,0.0,2.2791494,2.2791494000005,2.2791494,True
2044,0.0,0.0,0.0,0.0,0.0,0.0,True
2045,1.0232376,0.0,0.0,1.0232376,1.0232376,1.0232376,True
2046,14.930808,0.0,0.0,14.930808,14.930808,14.930808,True
2047,28.751109,0.0,0.0,28.751109,28.751109,28.751109,True
2048,0.0,0.0,0.0,0.0,0.0,0.0,True
2049,9e-12,0.0,0.0,9e-12,9e-12,9e-12,True
2050,213.2287400000005,0.0,0.0,213.22874,213.2287400000005,213.22874,True
2051,412.997072,0.0,0.0,412.9970767,412.997072,412.9970767,True
2052,0.0,0.0,0.0,5e-13,0.0,5e-13,True
2053,12.12316,0.0,0.0,12.123160149,12.12316,12.123160149,True
2054,0.031728298,0.0,0.0,0.031728298,0.031728298,0.031728298,True
2055,227.87692,0.0,0.0,227.87692,227.87692,227.87692,True
2056,3.8034639,0.0,0.0,3.8034639,3.8034639,3.8034639,True
2057,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
2058,0.0,0.0,0.0,0.0,0.0,0.0,True
2059,0.0,0.0,0.0,0.0,0.0,0.0,True
2060,7.9281619,0.0,0.0,7.9281619,7.9281619,7.9281619,True
2061,0.0,0.0,0.0,0.0,0.0,0.0,True
2062,193.926,0.0,0.0,193.926,193.926,193.926,True
2063,32.684292,0.0,0.0,32.6842922,32.684292,32.6842922,True
2064,152.23992,0.0,0.0,152.23992,152.23992,152.23992,True
2065,0.0,0.0,0.0,0.0,0.0,0.0,True
2066,0.0,0.0,0.0,0.0,0.0,0.0,True
2067,0.0,0.0,0.0,0.0,0.0,0.0,True
2068,6.2848471,0.0,0.0,6.2848470999999995,6.2848471,6.2848470999999995,True
2069,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
2070,492.02636,0.0,0.0,492.026354,492.02636,492.026354,True
2071,5.000067e-12,0.0,0.0,5.000067e-12,5.000067e-12,5.000067e-12,True
2072,0.72446281,0.0,0.0,0.72446281,0.72446281,0.72446281,True
2073,2.5016045,0.0,0.0,2.5016045,2.5016045,2.5016045,True
2074,0.0,0.0,0.0,0.0,0.0,0.0,True
2075,447.17599,0.0,0.0,447.175992,447.17599,447.175992,True
2076,4.9363944,0.0,0.0,4.9363944,4.9363944,4.9363944,True
2077,5.9279037,0.0,0.0,5.927903700000014,5.9279037,5.927903700000014,True
2078,0.0,0.0,0.0,0.0,0.0,0.0,True
2079,966.676638,0.0,0.0,966.676642,966.676638,966.676642,True
2080,1.1368684e-12,0.0,0.0,1.1368684189999999e-12,1.1368684e-12,1.1368684189999999e-12,True
2081,18.34627101,0.0,0.0,18.346271,18.34627101,18.346271,True
2082,1.5e-12,0.0,0.0,1.5e-12,1.5e-12,1.5e-12,True
2083,3.425273800001,0.0,0.0,3.4252738,3.425273800001,3.4252738,True
2084,2171.0884356,0.0,0.0,2171.08846,2171.0884356,2171.08846,True
2085,0.0,0.0,0.0,0.0,0.0,0.0,True
2086,0.0,0.0,0.0,0.0,0.0,0.0,True
2087,0.0,0.0,0.0,0.0,0.0,0.0,True
2088,0.0,0.0,0.0,0.0,0.0,0.0,True
2089,0.0,0.0,0.0,0.0,0.0,0.0,True
2090,154.60671,0.0,0.0,154.60671,154.60671,154.60671,True
2091,0.0,0.0,0.0,0.0,0.0,0.0,True
2092,11.591405,0.0,0.0,11.59140482,11.591405,11.59140482,True
2093,105.45737,0.0,0.0,105.45737,105.45737,105.45737,True
2094,834.96479,0.0,0.0,834.9647959,834.96479,834.9647959,True
2095,28.679738,0.0,0.0,28.6797376,28.679738,28.6797376,True
2096,0.0,0.0,0.0,0.0,0.0,0.0,True
2097,0.0,0.0,0.0,0.0,0.0,0.0,True
2098,1846.27047,0.0,0.0,1846.2705,1846.27047,1846.2705,True
2099,0.0,0.0,0.0,0.0,0.0,0.0,True
2100,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
2101,0.0,0.0,0.0,0.0,0.0,0.0,True
2102,10.793991,0.0,0.0,10.793991,10.793991,10.793991,True
2103,0.0,0.0,0.0,0.0,0.0,0.0,True
2104,45.643496,0.0,0.0,45.643496,45.643496,45.643496,True
2105,354.17324199999996,0.0,0.0,354.17324341,354.17324199999996,354.17324341,True
2106,287.67204,0.0,0.0,287.67204,287.67204,287.67204,True
2107,7.5432996,0.0,0.0,7.5432996,7.5432996,7.5432996,True
2108,0.0,0.0,0.0,0.0,0.0,0.0,True
2109,814.15587,0.0,0.0,814.15587,814.15587,814.15587,True
2110,7.2354099,0.0,0.0,7.2354099,7.2354099,7.2354099,True
2111,0.0,0.0,0.0,0.0,0.0,0.0,True
2112,194.94353,0.0,0.0,194.94353098,194.94353,194.94353098,True
2113,75.284301,0.0,0.0,75.284301,75.284301,75.284301,True
2114,0.0,0.0,0.0,0.0,0.0,0.0,True
2115,0.0,0.0,0.0,0.0,0.0,0.0,True
2116,0.0,0.0,0.0,0.0,0.0,0.0,True
2117,13.54715,0.0,0.0,13.547150000001,13.54715,13.547150000001,True
2118,2129.9409689999998,0.0,0.0,2129.9409,2129.9409689999998,2129.9409,True
2119,0.0,0.0,0.0,0.0,0.0,0.0,True
2120,7286.7975,0.0,0.0,7286.7975,7286.7975,7286.7975,True
2121,0.0,0.0,0.0,0.0,0.0,0.0,True
