node,inflow,supply,max_supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,flow_balance_ok,supply_ok
124,182.9006394086383,4.594218933370432e-05,0.0,0.0,182.90068539678623,182.90068535082764,182.90068539678623,True,True
125,1645.567485054864,4.3829104811610464e-05,0.0,0.0,1645.5675289277983,1645.5675288839689,1645.5675289277983,True,True
126,621.2326338846744,4.469224774182763e-05,0.0,0.0,621.2326786214874,621.2326785769222,621.2326786214874,True,True
127,562.4636272088624,3.9488882741046166e-05,0.0,0.0,562.4636667372489,562.4636666977451,562.4636667372489,True,True
128,1641.7353747975417,4.57743199458467e-05,0.0,0.0,1641.7354206164114,1641.7354205718616,1641.7354206164114,True,True
129,3037.119124340922,4.591168434649183e-05,0.0,0.0,3037.119170298744,3037.1191702526066,3037.119170298744,True,True
130,1116.2520048525712,4.212270524038214e-05,0.0,0.0,1116.252047017401,1116.2520469752765,1116.252047017401,True,True
131,1069.7895631937945,4.5847276253138e-05,0.0,0.0,1069.78960908702,1069.7896090410707,1069.78960908702,True,True
132,805.0331146319106,4.173910661129956e-05,0.0,0.0,805.0331564127453,805.0331563710172,805.0331564127453,True,True
133,67.57490103924665,4.210796641101538e-05,0.0,0.0,67.57494318932712,67.57494314721306,67.57494318932712,True,True
134,1266.861518108156,4.186256551501959e-05,0.0,0.0,1266.8615600126757,1266.8615599707214,1266.8615600126757,True,True
135,404.8795580703867,4.554702757499152e-05,0.0,0.0,404.8796036630772,404.87960361741426,404.8796036630772,True,True
136,501.76055192469113,4.551541531818094e-05,0.0,0.0,501.76059748560635,501.76059744010644,501.76059748560635,True,True
137,809.3036887460435,4.548904670938248e-05,0.0,0.0,809.3037342805538,809.3037342350901,809.3037342805538,True,True
138,1000.9664004461911,4.577781608801752e-05,0.0,0.0,1000.9664462703984,1000.9664462240072,1000.9664462703984,True,True
139,622.7242843896175,4.196526132125371e-05,0.0,0.0,622.7243263968674,622.7243263548788,622.7243263968674,True,True
140,542.40039188426,4.545490771225268e-05,0.0,0.0,542.4004373844887,542.4004373391678,542.4004373844887,True,True
141,862.0996238847735,4.162550783579926e-05,0.0,0.0,862.0996655519488,862.0996655102813,862.0996655519488,True,True
142,763.9973530380505,4.296031037931387e-05,0.0,0.0,763.9973960412821,763.9973959983608,763.9973960412821,True,True
143,414.18497654493797,3.937421028030893e-05,0.0,0.0,414.185015958499,414.18501591914827,414.185015958499,True,True
144,364.28841785680544,4.468309061864244e-05,0.0,0.0,364.2884625845446,364.28846253989605,364.2884625845446,True,True
145,1243.1601230673457,4.542110928878375e-05,0.0,0.0,1243.160168533956,1243.160168488455,1243.160168533956,True,True
146,0.0,4.53606234088461e-05,0.0,0.0,4.540598822654471e-05,4.53606234088461e-05,4.540598822654471e-05,True,True
147,822.3144549652441,4.567784340260328e-05,0.0,0.0,822.3145006888114,822.3145006430875,822.3145006888114,True,True
148,1780.0944472656608,4.588174247980522e-05,0.0,0.0,1780.0944931939912,1780.0944931474032,1780.0944931939912,True,True
149,1115.6753702968156,4.553354215272186e-05,0.0,0.0,1115.67541587536,1115.6754158303577,1115.67541587536,True,True
150,1206.1429164260217,4.352644844834799e-05,0.0,0.0,1206.142959995996,1206.1429599524702,1206.142959995996,True,True
151,724.8667460643006,3.8735909488412575e-05,0.0,0.0,724.8667848389421,724.8667848002101,724.8667848389421,True,True
152,1346.3855427376948,4.244126828810097e-05,0.0,0.0,1346.3855852214213,1346.385585178963,1346.3855852214213,True,True
153,1297.3557263189691,4.546310591589779e-05,0.0,0.0,1297.3557718252032,1297.355771782075,1297.3557718252032,True,True
154,280.9492032127167,4.546352823541683e-05,0.0,0.0,280.94924872307934,280.94924867624496,280.94924872307934,True,True
155,863.4338873536999,4.538530044576324e-05,0.0,0.0,863.4339327843866,863.4339327390004,863.4339327843866,True,True
156,836.2253408994205,4.597149130845636e-05,0.0,0.0,836.2253869165088,836.2253868709118,836.2253869165088,True,True
157,773.5045881088661,3.989926148594034e-05,0.0,0.0,773.5046280480324,773.5046280081276,773.5046280480324,True,True
158,1089.8609451877383,4.2086335550581126e-05,0.0,0.0,1089.8609873163457,1089.8609872740738,1089.8609873163457,True,True
