node,inflow,supply,max_supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,flow_balance_ok,supply_ok
17,0.1232578499150583,2.09949207891995e-09,0.0,0.0,0.1232578520166451,0.12325785201455038,0.1232578520166451,True,True
18,0.054995514165573745,2.207362145870812e-09,0.0,0.0,0.0549955163751414,0.05499551637293589,0.0549955163751414,True,True
19,0.19144931042000127,2.231678262657634e-09,0.0,0.0,0.19144931265389808,0.19144931265167953,0.19144931265389808,True,True
20,0.05451174468840522,2.1258536275666136e-09,0.0,0.0,0.054511746816382836,0.05451174681425885,0.054511746816382836,True,True
21,0.02706747789380796,2.151283348488324e-09,0.0,0.0,0.0270674800472434,0.02706748004509131,0.0270674800472434,True,True
22,0.0937027079199281,1.8922525861101006e-09,0.0,0.0,0.0937027098140712,0.09370270981218069,0.0937027098140712,True,True
23,0.033624072595963,2.2259830348442388e-09,0.0,0.0,0.0336240748241866,0.033624074821946036,0.0336240748241866,True,True
24,0.07815037427428104,2.208916925852792e-09,0.0,0.0,0.0781503764854132,0.07815037648319796,0.0781503764854132,True,True
25,0.06989542293045806,2.044694029025659e-09,0.0,0.0,0.06989542497720759,0.06989542497515208,0.06989542497720759,True,True
26,0.024366226214346302,2.198990130621493e-09,0.0,0.0,0.024366228415538496,0.024366228413336435,0.024366228415538496,True,True
27,0.08783338631228496,1.9134203099364073e-09,0.0,0.0,0.0878333882276189,0.08783338822570527,0.0878333882276189,True,True
28,0.016389238788800706,2.2112749280222908e-09,0.0,0.0,0.0163892410022938,0.016389241000075633,0.0163892410022938,True,True
29,0.05797736056589265,2.2226133609052823e-09,0.0,0.0,0.0579773627907703,0.057977362788506015,0.0579773627907703,True,True
30,0.021117965875139182,2.207868823191463e-09,0.0,0.0,0.021117968085149375,0.021117968083008004,0.021117968085149375,True,True
31,0.08231514872905678,2.198838783809516e-09,0.0,0.0,0.08231515093009299,0.08231515092789556,0.08231515093009299,True,True
32,0.0591159493442608,2.226592986255167e-09,0.0,0.0,0.059115951573036896,0.05911595157085379,0.059115951573036896,True,True
33,0.0699624772826989,2.0332910937181353e-09,0.0,0.0,0.0699624793180261,0.06996247931598999,0.0699624793180261,True,True
34,0.09201608500906346,2.2093538951258312e-09,0.0,0.0,0.09201608722068,0.09201608721841735,0.09201608722068,True,True
35,0.11969758909079656,2.0564196107980444e-09,0.0,0.0,0.1196975911492738,0.11969759114721616,0.1196975911492738,True,True
36,0.08027806234833283,2.2222153291196543e-09,0.0,0.0,0.080278064572734,0.08027806457054816,0.080278064572734,True,True
37,0.10875861224668498,2.2305935450797326e-09,0.0,0.0,0.1087586144795433,0.10875861447727853,0.1087586144795433,True,True
38,0.010155570883284299,2.198384099680717e-09,0.0,0.0,0.0101555730838708,0.010155573081668399,0.0101555730838708,True,True
39,0.0202013477938005,2.1988850467809358e-09,0.0,0.0,0.020201349994876,0.020201349992685545,0.020201349994876,True,True
40,0.08021937510759519,1.985093085725871e-09,0.0,0.0,0.0802193770946758,0.08021937709268828,0.0802193770946758,True,True
41,0.0045591782102537,2.225996919871572e-09,0.0,0.0,0.004559180438388,0.00455918043625062,0.004559180438388,True,True
42,0.051424359681882095,2.207158293545866e-09,0.0,0.0,0.051424361891249395,0.05142436188904039,0.051424361891249395,True,True
43,0.17518960742708428,2.192529127927117e-09,0.0,0.0,0.1751896096218178,0.1751896096196134,0.1751896096218178,True,True
