node,generation,max_supply
213,2.1623834312654522e-09,0.0
214,2.1972262503707365e-09,0.0
215,2.229504226763844e-09,0.0
216,2.2090232248841477e-09,0.0
217,2.2090203744049267e-09,0.0
218,2.2089687443778545e-09,0.0
219,2.202853622418204e-09,0.0
220,2.2295169096804064e-09,0.0
221,2.1068253113983586e-09,0.0
222,2.199210171896677e-09,0.0
223,2.042457423222424e-09,0.0
224,2.2265334351042035e-09,0.0
225,2.2089331984177668e-09,0.0
226,2.210869230486622e-09,0.0
227,2.2324184091953623e-09,0.0
228,2.1990697694922037e-09,0.0
229,2.1647538922633673e-09,0.0
230,2.1069028456923386e-09,0.0
231,2.232305723565706e-09,0.0
232,2.2074117009013143e-09,0.0
233,2.231069691328833e-09,0.0
234,2.232149984960018e-09,0.0
235,2.2148004847633224e-09,0.0
236,2.2111435594082383e-09,0.0
237,2.0186423037294665e-09,0.0
238,2.0224055716116785e-09,0.0
239,2.140263579934195e-09,0.0
240,2.162384146468761e-09,0.0
241,2.2080195228863267e-09,0.0
242,2.2267474520687915e-09,0.0
243,2.2078943843189035e-09,0.0
244,2.060912399750038e-09,0.0
245,2.0134476584437095e-09,0.0
246,2.2000116130909714e-09,0.0
247,2.2089840661784695e-09,0.0
248,2.2157409590957722e-09,0.0
249,2.208939293910401e-09,0.0
250,2.1732358180037024e-09,0.0
251,2.1982128323871427e-09,0.0
252,2.1014432817594287e-09,0.0
253,2.210955874249109e-09,0.0
254,2.1991368051212163e-09,0.0
255,2.0410244901197017e-09,0.0
256,2.1637062393154786e-09,0.0
257,2.226833992289636e-09,0.0
258,2.202863284033759e-09,0.0
259,2.215109025295416e-09,0.0
260,2.1034698854834277e-09,0.0
261,2.2115716984958752e-09,0.0
262,2.051453988056989e-09,0.0
263,2.2309881866157477e-09,0.0
264,2.224369730173332e-09,0.0
265,2.221231700462327e-09,0.0
266,2.208351082961681e-09,0.0
267,2.2324084974082993e-09,0.0
268,2.2078116372598425e-09,0.0
269,2.0803735965341275e-09,0.0
270,2.2082390679393595e-09,0.0
271,2.1308502432297496e-09,0.0
272,2.0297872877866045e-09,0.0
273,2.2253724794459743e-09,0.0
274,2.1699820134457747e-09,0.0
275,2.223134932978424e-09,0.0
276,2.081629357031734e-09,0.0
277,2.204057076253036e-09,0.0
278,2.2285242879721845e-09,0.0
279,2.2323892221395356e-09,0.0
280,2.2159876594772697e-09,0.0
281,2.1805115533895202e-09,0.0
282,2.190152727893986e-09,0.0
283,2.1631773076567497e-09,0.0
284,2.0439102199312034e-09,0.0
285,2.2079220382413226e-09,0.0
286,2.091797625114368e-09,0.0
287,2.0912115579423545e-09,0.0
288,2.1624391310956217e-09,0.0
289,2.1699660684126166e-09,0.0
290,2.2297339540202784e-09,0.0
291,2.222370330698291e-09,0.0
292,2.084634581115628e-09,0.0
293,2.207891959798572e-09,0.0
294,2.0974341937578064e-09,0.0
295,2.1975968776961573e-09,0.0
296,2.221861369870327e-09,0.0
297,2.2085255462919063e-09,0.0
298,2.2092226065389777e-09,0.0
299,2.207893364400295e-09,0.0
300,2.026481285318875e-09,0.0
301,2.097575637743684e-09,0.0
302,2.221285962584213e-09,0.0
303,2.231827692931699e-09,0.0
304,2.1434763817764594e-09,0.0
305,2.1623066972641786e-09,0.0
306,2.173254869477119e-09,0.0
307,2.1983015579768172e-09,0.0
308,1.9113744562728828e-09,0.0
309,2.1674221841550272e-09,0.0
310,2.2079046083582635e-09,0.0
311,2.152937814161161e-09,0.0
312,2.2322953426649954e-09,0.0
313,2.2310238025593733e-09,0.0
314,2.0193782034490524e-09,0.0
315,2.2222775284170446e-09,0.0
316,2.1705374194639865e-09,0.0
317,2.202813196824461e-09,0.0
318,2.207910886342147e-09,0.0
