from,to,cost,flow,flow_squared,cost_times_flow_squared
14397,13075,0.503875792,0.0012595510316008008,1.5864688012066415e-06,7.993832236912869e-07
14396,13600,0.010787866,0.0004023562620093882,1.6189056157816743e-07,1.7464536849700187e-09
14395,12712,0.026239823,1.96094020651211e-09,3.845286493515757e-18,1.0089963697414411e-19
13307,14394,0.390286162,0.02801619151524433,0.0007849069870188483,0.00030633833549057013
14393,14027,0.044042082,0.002414137678990301,5.828060733120677e-06,2.56679928709081e-07
12970,14392,0.341941198,4.223392758253551e-05,1.7837046390468536e-09,6.099221011538387e-10
14391,13930,0.158403318,0.0012070699193082223,1.4570177900987583e-06,2.3079645233667082e-07
14390,12130,1.578485358,0.0012070687264316155,1.4570149103292424e-06,2.299876702342392e-06
14389,12997,0.04501382,0.00419849892360715,1.76273932115304e-05,7.934763050930513e-07
13310,14388,0.224342401,0.0003487146775909463,1.2160192636735764e-07,2.728046812747822e-08
14387,14025,0.036841023,0.002414136864124169,5.828056798723276e-06,2.1471157456707057e-07
13763,14386,0.943060091,0.00393780778097506,1.550633011990773e-05,1.4623401093956224e-05
14385,13263,0.059523412,0.0005962117921777031,3.554685011317487e-07,2.115869804588754e-08
14384,12596,0.298114823,0.011829698435953051,0.00013994176508559005,4.171871452879826e-05
14383,13138,0.078658863,0.0024141377245027297,5.828060952867218e-06,4.5842864804723196e-07
14382,12821,0.168991818,1.0009334656431637e-09,1.0018678026444345e-18,1.6930746136454816e-19
14381,14380,0.182671212,2.0079429703179006e-09,4.031834972049074e-18,7.365001809281904e-19
14380,12796,0.153379343,4.015884103695816e-09,1.612732513431675e-17,2.4735985334488896e-18
12795,14379,0.339278541,0.002656928658545061,7.059269896598058e-06,2.3950587910430096e-06
14378,14227,1.804352361,1.984736998896313e-09,3.939180954787943e-18,7.10767045617786e-18
14377,14376,0.038412426,1.0067388128332963e-09,1.0135230372649949e-18,3.893187866823686e-20
14376,13759,0.59215515,4.026950537119491e-09,1.6216330628406957e-17,9.602583695713916e-18
14375,12797,0.501324906,1.9975021365022364e-09,3.990014785330999e-18,2.000293787194673e-18
14374,13834,0.042306939,4.80660389107071e-05,2.3103440965656087e-09,9.774358676241133e-11
14373,6271,0.073939595,0.0012595511240695188,1.5864690341447883e-06,1.1730287786470682e-07
14372,12824,0.088444875,2.0159862770285953e-09,4.0642006691676166e-18,3.594577201594462e-19
14371,12825,0.755756417,2.014830293548786e-09,4.059541111801887e-18,3.0680242453195907e-18
14370,12654,0.0425158,0.0024141378161702193,5.828061395463115e-06,2.4778469267723073e-07
14369,13291,0.143745274,0.001207069925350929,1.4570178046866972e-06,2.0943942355756777e-07
14368,13118,0.590305875,0.004198498946477534,1.762739340357296e-05,1.0405553887065365e-05
14367,12955,0.138447342,0.0024141376708587295,5.828060693859211e-06,8.068795120794835e-07
14366,12321,0.08395709,0.005402788816019842,2.919012699050909e-05,2.450718118853601e-06
14365,13995,0.034292059,0.0012070687860407108,1.4570150542337952e-06,4.9964046203673504e-08
14364,4852,0.057561066,0.0004023559938680113,1.6189034580151515e-07,9.318580879443837e-09
14363,14079,0.453744041,0.0012595509804783991,1.5864686724240965e-06,7.198507063456147e-07
14362,12697,0.247697675,0.004023561677751385,1.618904857466954e-05,4.009989692407708e-06
14361,14231,0.67886565,0.0041984989914402695,1.762739378112496e-05,1.1966632137029354e-05
